episodes,mean_100ep_reward,steps,time_exploring
20,-0.01,3837,62
40,-0.08,7575,25
60,-0.29,10458,2
80,-0.35,13582,2
100,-0.36,17089,2
120,-0.36,20865,2
140,-0.32,24863,2
160,-0.13,28737,2
180,-0.02,32718,2
200,0.06,36505,2
220,0.07,40353,2
240,0.16,44219,2
260,0.16,48075,2
280,0.23,52100,2
300,0.26,55861,2
320,0.3,59696,2
340,0.26,63258,2
360,0.23,67151,2
380,0.22,71057,2
400,0.17,74575,2
420,0.17,78426,2
440,0.13,82188,2
460,0.18,86228,2
480,0.2,90268,2
500,0.29,94153,2
520,0.28,98038,2
540,0.29,101894,2
560,0.26,105716,2
580,0.17,109439,2
600,0.17,113401,2
620,0.14,117146,2
640,0.13,120736,2
660,0.14,124526,2
680,0.15,128120,2
700,0.09,131687,2
720,0.1,135331,2
740,0.07,138963,2
760,0.03,142684,2
780,-0.0,146318,2
800,-0.01,149927,2
820,-0.08,153472,2
840,-0.07,157066,2
860,-0.09,160752,2
880,-0.05,164515,2
900,-0.03,168107,2
920,0.07,171900,2
940,0.07,175478,2
960,0.07,178960,2
980,0.05,182646,2
1000,0.07,186612,2
1020,0.05,190572,2
1040,0.04,194452,2
1060,-0.0,198013,2
1080,-0.06,201145,2
1100,-0.14,204736,2
1120,-0.2,208150,2
1140,-0.26,211526,2
1160,-0.2,215347,2
1180,-0.16,218901,2
1200,-0.14,222462,2
1220,-0.12,226185,2
1240,-0.12,229672,2
1260,-0.22,233024,2
1280,-0.31,236260,2
1300,-0.31,239871,2
1320,-0.3,243741,2
1340,-0.23,247353,2
1360,-0.16,251097,2
1380,-0.06,254978,2
1400,-0.08,258326,2
1420,-0.09,261989,2
1440,-0.17,265118,2
1460,-0.13,268906,2
1480,-0.13,272520,2
1500,-0.1,276218,2
1520,-0.08,280007,2
1540,-0.06,283296,2
1560,-0.11,286607,2
1580,-0.15,289866,2
1600,-0.16,293637,2
1620,-0.12,297642,2
1640,-0.05,301490,2
1660,-0.06,305080,2
1680,-0.05,308895,2
1700,-0.09,312427,2
1720,-0.16,316176,2
1740,-0.23,319433,2
1760,-0.25,322996,2
1780,-0.2,326751,2
1800,-0.15,330483,2
1820,-0.16,333625,2
1840,-0.15,337188,2
1860,-0.12,340811,2
1880,-0.2,344082,2
1900,-0.25,347606,2
1920,-0.17,351216,2
1940,-0.15,354783,2
1960,-0.08,358264,2
1980,-0.09,361670,2
